category,name,variant,adj-1,adj-2,adj-3,description,image_url,feelings-1-name,feelings-1-percent,feelings-2-name,feelings-2-percent,feelings-3-name,feelings-3-percent,feelings-4-name,feelings-4-percent,feelings-5-name,feelings-5-percent,helps-with-1-name,helps-with-1-percent,helps-with-2-name,helps-with-2-percent,helps-with-3-name,helps-with-3-percent,helps-with-4-name,helps-with-4-percent,helps-with-5-name,helps-with-5-percent,negatives-1-name,negatives-1-percent,negatives-2-name,negatives-2-percent,negatives-3-name,negatives-3-percent,negatives-4-name,negatives-4-percent,negatives-5-name,negatives-5-percent
Indica,Chemo,Sleepy,Peppery,Herbal,Citrus,"Rumor has it that Chemo’s beginnings stretch back to the 1970s in Canada where this heavy indica was allegedly developed to treat the side effects of chemotherapy. Another name for this strain is “UBC Chemo” in reference to the university in which Chemo is said to have been conceived. Chemo’s genetics is carried on by Jordan of the Islands, whose rendition is best known for its subtle woody aroma and potent medicinal effects perfect for patients treating nausea, appetite loss, pain, and sleeplessness. ",null,Relaxed,84%,Sleepy,74%,Hungry,48%,Happy,42%,Euphoric,38%,Pain,43%,Insomnia,42%,Stress,40%,Lack of appetite,26%,Anxiety,26%,Dry mouth,30%,Dry eyes,16%,Dizzy,11%,Anxious,5%,Paranoid,4%
Indica,Phantom OG,Giggly,Peppery,Citrus,Hoppy,"Phantom OG is an indica-dominant strain that begins with heightened energy and ends with a crash of full-body relaxation. Beyond its OG Kush genes, Phantom OG’s lineage is largely unknown, although many claim it’s related to the “Planetary Kush” series which includes Earth OG, Jupiter OG, Mars OG, and others. Its aroma is a rich combination of pine and lemon accented by a subtle menthol flavor. The initial euphoric jolt launches you into a happy, dreamy state of mind with fits of giggles and fixated concentration. Over time, you may notice some mental jamming, absent-mindedness, and impending sleepiness. Phantom OG is a great choice for patients treating insomnia, and others have reported its success in pain, appetite loss, and arthritis.",null,Relaxed,74%,Happy,61%,Euphoric,52%,Sleepy,47%,Uplifted,39%,Pain,25%,Stress,24%,Insomnia,22%,Anxiety,20%,Depression,14%,Dry mouth,30%,Dry eyes,14%,Dizzy,6%,Paranoid,6%,Headache,5%
Indica,Black Lime,Euphoric,Herbal,Pine,Peppery,"From Aficionado Seeds comes Black Lime Special Reserve, an indica strain that descends from Woodman Canyon Oil Can, Lime Afghani, Northern Lights, Purple Kush, and Chemdawg Special Reserve. Flavors of pine, lemon, and black pepper are ushered in alongside uplifting euphoria, leaving you feeling tingly and relaxed.",null,Relaxed,73%,Euphoric,59%,Happy,47%,Uplifted,33%,Sleepy,28%,Stress,37%,Depression,26%,Anxiety,25%,Pain,19%,Insomnia,17%,Dry mouth,19%,Dry eyes,12%,Anxious,2%,Headache,2%,Paranoid,2%
Indica,Jedi Kush,Tingly,Herbal,Peppery,Pine,"Cali Connection’s Jedi Kush brings together the forces of Death Star and SFV OG Kush, an indica alliance that will awaken both mind and body. Jedi Kush’s timid aroma isn’t fully realized until a bud is cracked open, releasing a complex fusion of sour skunk and tangy diesel. Dreamy euphoria blankets the mind, a sensation that builds over time into bolting cerebral energy. This lethargy-free strain is a great way for patients to get a powerful dose of cannabinoids during the day while treating ailments like pain, PTSD, depression, stress, headaches, and appetite loss. Jedi plants show resilience in outdoor gardens but also thrive indoors with a flowering time of 8 to 9 weeks.",null,Relaxed,80%,Euphoric,56%,Happy,55%,Sleepy,46%,Uplifted,40%,Stress,36%,Pain,35%,Anxiety,30%,Depression,22%,Insomnia,20%,Dry mouth,27%,Dry eyes,19%,Dizzy,8%,Headache,5%,Anxious,2%
Indica,DJ Short Blueberry,Sleepy,Herbal,Pine,Peppery,"DJ Short Blueberry is a living legend. This is, was, and forever will be the west coast Blueberry varietal. The strain is sought-after and has been spliced into many different hybridized strains. DSBs genetics stem from DJ Short’s travels through Central America and Southeast Asia, where he gathered robust landrace genetics that would later blossom into some of the most revered cannabis strains on the planet. Finding a true cut of DSB is harder than it sounds, but if you do, savor it: You will be igniting a piece of cannabis history. Expect beautiful sedative effects that are second only to the incredible berry flavor of this flower. ",null,Relaxed,70%,Happy,59%,Euphoric,53%,Uplifted,46%,Sleepy,37%,Stress,40%,Pain,39%,Anxiety,33%,Depression,29%,Insomnia,29%,Dry mouth,24%,Dry eyes,15%,Dizzy,5%,Headache,3%,Anxious,1%
Indica,Whitewalker OG,Sleepy,Citrus,Herbal,Peppery,"Whitewalker OG (not to be confused with White Walker Kush) by Gold Coast Collection is an indica variation of the renowned SFV OG Kush. Wrapped in a sparkling coat of crystal trichomes, Whitewalker OG wears its potency like a crown. Not surprisingly, this Los Angeles native earned first place in the 2013 High Times Amsterdam Cannabis Cup and is cherished to this day for its ability to lift the mood with swiftness. Its heavy resin production is treasured by extract artists, and commercial growers will appreciate the high yields offered by this OG phenotype.",null,Relaxed,72%,Happy,51%,Euphoric,41%,Sleepy,41%,Uplifted,34%,Pain,37%,Stress,35%,Depression,28%,Anxiety,24%,Insomnia,22%,Dry eyes,15%,Dry mouth,15%,Paranoid,7%,Anxious,4%,Headache,2%
Indica,Extreme Cream,Hungry,Citrus,Herbal,Peppery,"Extreme Cream by Exotic Genetix is the pungent cross between Extreme OG and Cookies & Cream. This strain develops deep purple colas dusted with trichomes and emits a strong, earthy aroma that is somehow creamy on the nose and buttery on the palate. Extreme Cream’s effects are uplifting for some, offering mood elevation that may abate anxiety and spur conversation. Others may experience tranquilizing effects alongside euphoria, appetite stimulation, and couch lock.   ",null,Relaxed,84%,Happy,63%,Sleepy,45%,Euphoric,43%,Hungry,43%,Pain,32%,Stress,32%,Anxiety,28%,Depression,26%,Insomnia,23%,Dry mouth,28%,Dry eyes,17%,Dizzy,10%,Anxious,2%,Paranoid,2%
Indica,Incredible Bulk,Sleepy,Herbal,Peppery,Citrus,"Incredible Bulk is a mixture of three notable indicas. Big Bud combines with Super Skunk and Green Spirit to create the sweet earthy flavors of hash that usher in Incredible Bulk’s relaxing effects. Its sedating effects make Incredible Bulk a great choice to help you unwind at the end of the day. Originally bred by Dr. Krippling for its heavy yields and ease of growth, Incredible Bulk is a very stable plant that makes a compelling case for indoor cultivation. The buds are known to explode in size when grown hydroponically.",null,Relaxed,85%,Happy,64%,Sleepy,57%,Euphoric,50%,Hungry,38%,Insomnia,33%,Stress,31%,Anxiety,31%,Depression,29%,Pain,27%,Dry mouth,42%,Dry eyes,16%,Dizzy,11%,Anxious,5%,Paranoid,5%
Indica,Mars OG,Sleepy,Peppery,Citrus,Herbal,"Mars OG is one spacey indica. Coming out of the California Bay Area, Mars OG has been given its planetary name in reference to its growing conditions. Planetary strains refer to strains which began indoors and were moved outdoors to complete the grow cycle in more natural conditions. The end result is a dense bud with a high flower-to-leaf ratio that produces a heavy-handed body buzz. With a hearty, thick taste and pungent smell, Mars OG will take away your pains and easily put you to sleep.",null,Sleepy,47%,Relaxed,45%,Happy,38%,Euphoric,34%,Uplifted,29%,Stress,34%,Insomnia,33%,Pain,32%,Anxiety,22%,Depression,15%,Dry mouth,32%,Dry eyes,18%,Dizzy,6%,Headache,3%,Paranoid,1%
Indica,Plushberry,Relaxed,Pine,Herbal,Peppery,"Plushberry, a cross between Black Cherry Soda and Space Queen, is an indica-dominant strain bred by TGA Seeds. The Black Cherry Soda lends this strain an aromatic berry scent, while the Space Queen genetics promote heavy resin production. Plushberry induces a deep relaxation in the mind and body, with calming qualities that melt away stress. There are two main phenotypes of Plushberry: one that grows smaller, pink-tinted plants, and another with bulkier, more indica-like formations. Plushberry flowers in 55 to 65 days with medium to heavy yields. ",null,Relaxed,77%,Happy,51%,Euphoric,47%,Sleepy,35%,Uplifted,35%,Stress,33%,Pain,28%,Anxiety,28%,Depression,28%,Insomnia,19%,Dry mouth,21%,Dry eyes,12%,Anxious,2%,Headache,2%,Paranoid,2%
